X,Y,word1letter0,RT,Decision,
376,881,0,0.44,1,
124,881,0,0.44,1,
156,796,0,0.39,1,
143,165,1,0.205,1,
209,165,1,0.16,1,
318,1051,1,0.39,1,
346,165,0,0.355,1,
124,881,0,0.44,1,
124,881,0,0.2,1,
318,1051,1,0.44,1,
219,796,0,0.39,1,
345,796,0,0.4,1,
136,165,1,0.355,1,
219,796,0,0.39,1,
61,881,0,0.39,1,
282,796,0,0.39,1,
61,881,0,0.4,1,
282,796,0,0.4,1,
156,796,0,0.39,1,
219,796,0,0.44,1,
282,796,0,0.445,1,
401,966,0,0.4,1,
136,165,1,0.235,1,
282,796,0,0.39,1,
471,796,0,0.39,1,
160,165,1,0.2,1,
282,796,0,0.445,1,
244,165,1,0.2,1,
565,881,0,0.39,1,
93,796,0,0.37,0,
212,966,0,0.4,1,
313,881,0,0.285,1,
304,165,0,0.205,1,
464,966,0,0.39,1,
408,796,0,0.39,1,
318,1051,1,0.39,1,
156,796,0,0.39,1,
156,796,0,0.39,1,
376,881,0,0.37,0,
219,796,0,0.4,1,
726,491,1,0.37,0,
318,1051,1,0.4,1,
156,796,0,0.39,1,
318,1051,1,0.37,0,
401,966,0,0.37,0,
318,1051,1,0.39,1,
471,796,0,0.37,0,
565,881,0,0.44,1,
250,881,0,0.39,1,
219,796,0,0.39,1,
283,165,0,0.205,1,
565,881,0,0.245,1,
136,165,1,0.205,1,
534,796,0,0.4,1,
282,796,0,0.245,1,
471,796,0,0.4,1,
156,796,0,0.44,1,
61,881,0,0.39,1,
171,165,1,0.105,0,
318,1051,1,0.44,1,
318,1051,1,0.39,1,
290,165,0,0.205,1,
156,796,0,0.39,1,
318,1051,1,0.39,1,
178,165,1,0.2,1,
108,165,1,6.755,1,
124,881,0,0.37,0,
282,796,0,0.37,0,
132,165,1,0.355,1,
282,796,0,0.4,1,
234,165,1,0.235,1,
471,796,0,0.44,1,
534,796,0,0.37,0,
258,165,1,0.205,1,
219,796,0,0.37,0,
156,796,0,0.37,0,
61,881,0,0.37,0,
195,165,1,0.235,1,
187,881,0,0.4,1,
156,796,0,0.4,1,
124,881,0,0.44,1,
471,796,0,0.39,1,
230,165,1,0.105,0,
244,165,1,0.145,0,
313,881,0,0.4,1,
149,966,0,0.37,0,
132,165,1,0.145,0,
471,796,0,0.4,1,
345,796,0,0.105,0,
534,796,0,0.39,1,
139,165,1,0.16,1,
471,796,0,0.37,0,
318,1051,1,0.37,0,
219,796,0,0.16,1,
156,796,0,0.39,1,
318,1051,1,0.39,1,
146,165,1,0.355,1,
181,165,1,0.145,0,
206,165,1,0.235,1,
318,1051,1,0.44,1,
318,1051,1,0.4,1,
156,796,0,0.37,0,
187,881,0,0.36,1,
181,165,1,0.145,0,
346,165,1,0.16,1,
318,1051,1,0.4,1,
139,165,1,0.145,0,
314,165,1,0.205,1,
282,796,0,0.39,1,
250,881,0,0.4,1,
313,881,0,0.165,0,
318,1051,1,0.44,1,
241,165,1,0.16,1,
726,491,1,0.39,1,
61,881,0,0.39,1,
282,796,0,0.285,1,
318,1051,1,0.39,1,
471,796,0,0.39,1,
97,165,1,7.955,1,
376,881,0,0.4,1,
223,165,1,0.16,1,
597,796,0,0.37,0,
199,165,1,0.235,1,
156,796,0,0.39,1,
156,796,0,0.245,1,
318,1051,1,0.37,0,
318,1051,1,0.44,1,
124,881,0,0.37,0,
136,165,1,0.235,1,
188,165,1,0.36,1,
156,796,0,0.44,1,
318,1051,1,0.39,1,
153,165,1,0.16,1,
408,796,0,0.39,1,
318,1051,1,0.44,1,
269,165,0,0.2,1,
248,165,1,0.16,1,
471,796,0,0.37,0,
156,796,0,0.39,1,
219,796,0,0.37,0,
318,1051,1,0.4,1,
124,881,0,0.37,0,
534,796,0,0.37,0,
318,1051,1,0.39,1,
534,796,0,0.44,1,
282,796,0,0.44,1,
101,165,1,3.505,1,
726,491,1,0.44,1,
304,165,0,0.36,1,
61,881,0,0.4,1,
502,881,0,0.39,1,
